epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.518844,0.494657,1.129638,0.749275,-0.389205,-0.254618,0.00120000
2,1.091401,0.706003,0.809197,0.764981,-0.282204,-0.058978,0.00210000
3,0.922995,0.701852,0.741550,0.759878,-0.181446,-0.058025,0.00300000
4,0.814064,0.743521,0.696642,0.762842,-0.117421,-0.019321,0.00299829
5,0.765834,0.758293,0.621832,0.801542,-0.144002,-0.043249,0.00299315
6,0.715407,0.777760,0.637597,0.804040,-0.077810,-0.026280,0.00298461
7,0.677961,0.795409,0.578766,0.843639,-0.099195,-0.048230,0.00297268
8,0.637057,0.814466,0.566337,0.816487,-0.070720,-0.002021,0.00295741
9,0.616032,0.818972,0.560533,0.835836,-0.055498,-0.016864,0.00293882
10,0.579379,0.835413,0.488791,0.865629,-0.090588,-0.030216,0.00291698
11,0.565957,0.839493,0.509779,0.848473,-0.056178,-0.008980,0.00289193
12,0.535246,0.853124,0.485803,0.843486,-0.049443,0.009638,0.00286376
13,0.500572,0.864111,0.486433,0.874850,-0.014140,-0.010740,0.00283253
14,0.492541,0.867717,0.483358,0.868772,-0.009182,-0.001055,0.00279834
15,0.482598,0.872097,0.464286,0.877854,-0.018312,-0.005757,0.00276127
16,0.459065,0.876821,0.508096,0.853217,0.049031,0.023604,0.00272143
17,0.454198,0.878399,0.454013,0.880371,-0.000185,-0.001972,0.00267893
18,0.436806,0.885970,0.456606,0.896815,0.019800,-0.010845,0.00263388
19,0.423694,0.892640,0.428741,0.896721,0.005047,-0.004081,0.00258641
20,0.419273,0.894830,0.472134,0.864098,0.052861,0.030731,0.00253665
21,0.402188,0.897522,0.452539,0.880745,0.050351,0.016778,0.00248473
22,0.377115,0.906302,0.417265,0.898618,0.040150,0.007684,0.00243080
23,0.360413,0.915203,0.401133,0.905018,0.040719,0.010185,0.00237500
24,0.365730,0.910520,0.429800,0.899036,0.064071,0.011484,0.00231749
25,0.349828,0.917627,0.420844,0.910729,0.071016,0.006898,0.00225842
26,0.327823,0.922200,0.410289,0.907099,0.082466,0.015101,0.00219796
27,0.328286,0.924652,0.431538,0.900129,0.103252,0.024524,0.00213627
28,0.334734,0.921707,0.390185,0.907386,0.055451,0.014321,0.00207352
29,0.313549,0.926055,0.400739,0.896720,0.087190,0.029335,0.00200989
30,0.293584,0.933196,0.378486,0.920158,0.084902,0.013038,0.00194554
31,0.278567,0.937460,0.393832,0.916460,0.115265,0.021000,0.00188066
32,0.278140,0.938127,0.380913,0.923207,0.102773,0.014921,0.00181542
33,0.275515,0.939508,0.412454,0.917209,0.136938,0.022299,0.00175000
34,0.255384,0.944200,0.378186,0.917313,0.122801,0.026887,0.00168458
35,0.247581,0.946321,0.378049,0.922779,0.130467,0.023541,0.00161934
36,0.239256,0.948056,0.383515,0.923034,0.144260,0.025023,0.00155446
37,0.234275,0.949663,0.400343,0.919298,0.166069,0.030364,0.00149011
38,0.241955,0.947029,0.419699,0.904938,0.177744,0.042091,0.00142648
39,0.237232,0.948645,0.386434,0.925388,0.149201,0.023257,0.00136373
40,0.229819,0.951563,0.380186,0.926049,0.150367,0.025514,0.00130204
41,0.216781,0.953546,0.379436,0.926876,0.162655,0.026670,0.00124158
42,0.215637,0.954387,0.392087,0.919868,0.176450,0.034519,0.00118251
43,0.211519,0.954581,0.382493,0.925463,0.170974,0.029118,0.00112500
44,0.205730,0.956783,0.393302,0.926261,0.187572,0.030522,0.00106920
45,0.199049,0.958118,0.386306,0.931979,0.187257,0.026139,0.00101527
46,0.198353,0.958302,0.386932,0.930408,0.188580,0.027894,0.00096335
47,0.193591,0.960180,0.378692,0.933078,0.185101,0.027103,0.00091359
48,0.186922,0.961518,0.399947,0.931887,0.213025,0.029631,0.00086612
49,0.179764,0.962476,0.377180,0.932752,0.197415,0.029724,0.00082107
50,0.178915,0.963039,0.391287,0.930494,0.212372,0.032545,0.00077857
51,0.176832,0.963362,0.383407,0.930938,0.206575,0.032424,0.00073873
52,0.175062,0.964450,0.376129,0.934346,0.201067,0.030104,0.00070166
53,0.169879,0.965014,0.379974,0.934156,0.210095,0.030858,0.00066747
54,0.170704,0.965202,0.386535,0.935216,0.215831,0.029986,0.00063624
55,0.163948,0.965697,0.387438,0.933061,0.223490,0.032636,0.00060807
56,0.163492,0.966597,0.371263,0.933689,0.207772,0.032908,0.00058302
57,0.160402,0.967314,0.381201,0.934717,0.220799,0.032597,0.00056118
58,0.160109,0.967500,0.379316,0.932857,0.219207,0.034643,0.00054259
59,0.158246,0.967876,0.385013,0.935908,0.226767,0.031969,0.00052732
60,0.157462,0.967887,0.378636,0.935590,0.221174,0.032296,0.00051539
