epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,0.499452,0.685715,0.311097,0.763706,-0.188355,-0.077991,0.00120000
2,0.377027,0.733800,0.278853,0.779512,-0.098174,-0.045712,0.00210000
3,0.355678,0.740393,0.257931,0.788490,-0.097747,-0.048096,0.00300000
4,0.317157,0.760401,0.238755,0.802875,-0.078402,-0.042473,0.00299976
5,0.293840,0.772154,0.224731,0.804697,-0.069110,-0.032543,0.00299904
6,0.279376,0.779060,0.206527,0.818869,-0.072849,-0.039809,0.00299783
7,0.264838,0.786995,0.197757,0.822381,-0.067081,-0.035387,0.00299615
8,0.252114,0.794240,0.199748,0.819644,-0.052366,-0.025404,0.00299398
9,0.241773,0.800270,0.187950,0.816588,-0.053823,-0.016317,0.00299134
10,0.234855,0.804499,0.188777,0.824126,-0.046078,-0.019627,0.00298821
11,0.222308,0.811498,0.163744,0.839649,-0.058564,-0.028151,0.00298461
12,0.218309,0.813023,0.166792,0.840228,-0.051517,-0.027205,0.00298053
13,0.210937,0.818629,0.160894,0.842002,-0.050043,-0.023373,0.00297598
14,0.202278,0.823771,0.148640,0.853749,-0.053638,-0.029978,0.00297096
15,0.198094,0.826180,0.151321,0.844913,-0.046773,-0.018733,0.00296546
16,0.191631,0.830565,0.137053,0.866478,-0.054578,-0.035913,0.00295950
17,0.185667,0.835048,0.143620,0.854901,-0.042048,-0.019853,0.00295307
18,0.181834,0.837126,0.130811,0.871896,-0.051022,-0.034770,0.00294618
19,0.178275,0.840135,0.131707,0.869857,-0.046569,-0.029722,0.00293882
20,0.176679,0.841226,0.158148,0.851330,-0.018531,-0.010104,0.00293101
21,0.172374,0.844372,0.132112,0.869857,-0.040262,-0.025484,0.00292274
22,0.168063,0.847288,0.120075,0.875310,-0.047988,-0.028022,0.00291402
23,0.161929,0.851109,0.132634,0.860440,-0.029295,-0.009331,0.00290485
24,0.163867,0.849530,0.129781,0.869298,-0.034086,-0.019768,0.00289523
25,0.156556,0.855220,0.130347,0.870455,-0.026209,-0.015234,0.00288518
26,0.155077,0.856201,0.119784,0.880732,-0.035293,-0.024531,0.00287469
27,0.153857,0.858098,0.121880,0.872767,-0.031977,-0.014668,0.00286376
28,0.152193,0.858069,0.126685,0.866137,-0.025509,-0.008068,0.00285240
29,0.146766,0.861646,0.113047,0.880504,-0.033719,-0.018858,0.00284062
30,0.146444,0.863559,0.122357,0.876435,-0.024087,-0.012876,0.00282842
31,0.143732,0.864386,0.116049,0.875714,-0.027683,-0.011328,0.00281580
32,0.142121,0.866552,0.123100,0.871198,-0.019022,-0.004646,0.00280277
33,0.140231,0.867339,0.105794,0.881886,-0.034438,-0.014547,0.00278934
34,0.138055,0.868746,0.119030,0.878255,-0.019025,-0.009509,0.00277550
35,0.137245,0.870063,0.108976,0.885624,-0.028269,-0.015562,0.00276127
36,0.133830,0.872470,0.109175,0.886228,-0.024655,-0.013758,0.00274665
37,0.128204,0.875923,0.106337,0.893085,-0.021867,-0.017162,0.00273165
38,0.131275,0.875188,0.104204,0.889366,-0.027071,-0.014178,0.00271626
39,0.126734,0.878458,0.103800,0.883047,-0.022934,-0.004590,0.00270051
40,0.130832,0.875213,0.112702,0.882897,-0.018129,-0.007685,0.00268439
41,0.127522,0.878062,0.117507,0.881968,-0.010014,-0.003907,0.00266790
42,0.123181,0.881110,0.097933,0.900240,-0.025247,-0.019131,0.00265107
43,0.122061,0.881115,0.110142,0.871742,-0.011919,0.009373,0.00263388
44,0.121321,0.881905,0.104021,0.895714,-0.017300,-0.013809,0.00261636
45,0.122764,0.881740,0.108781,0.881029,-0.013983,0.000711,0.00259850
46,0.117949,0.884536,0.091738,0.904256,-0.026210,-0.019720,0.00258032
47,0.116154,0.885381,0.097352,0.896450,-0.018802,-0.011069,0.00256181
48,0.116168,0.886439,0.102015,0.896835,-0.014153,-0.010396,0.00254299
49,0.115110,0.886839,0.098801,0.893945,-0.016309,-0.007106,0.00252387
50,0.114821,0.887482,0.101301,0.887838,-0.013520,-0.000356,0.00250444
51,0.112508,0.889529,0.104433,0.882549,-0.008075,0.006980,0.00248473
52,0.108637,0.891993,0.092491,0.903706,-0.016147,-0.011713,0.00246473
53,0.112862,0.888421,0.093642,0.891623,-0.019220,-0.003202,0.00244446
