epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate,val_miou
1,1.672094,0.453179,1.136673,0.687024,-0.535421,-0.233845,0.00120000,0.336226
2,1.209175,0.589594,0.992130,0.595130,-0.217044,-0.005536,0.00210000,0.332776
3,1.067278,0.618138,0.866403,0.589969,-0.200875,0.028169,0.00300000,0.368753
4,0.963323,0.646019,0.883757,0.649625,-0.079566,-0.003606,0.00299998,0.408183
5,0.881051,0.676197,0.789811,0.675279,-0.091240,0.000918,0.00299993,0.438236
6,0.827408,0.695849,0.758080,0.675058,-0.069328,0.020791,0.00299985,0.466200
7,0.770837,0.719876,0.608237,0.793426,-0.162600,-0.073550,0.00299973,0.571196
8,0.758436,0.723856,0.690542,0.740303,-0.067894,-0.016447,0.00299957,0.533577
9,0.680629,0.763756,0.581244,0.816930,-0.099385,-0.053174,0.00299938,0.582335
10,0.668597,0.769002,0.595182,0.798489,-0.073415,-0.029487,0.00299916,0.570467
11,0.652714,0.777382,0.557483,0.806952,-0.095231,-0.029571,0.00299890,0.578674
12,0.603412,0.792735,0.523934,0.830770,-0.079478,-0.038035,0.00299861,0.610193
13,0.613278,0.794585,0.572139,0.809554,-0.041140,-0.014968,0.00299829,0.592011
14,0.569841,0.810025,0.582645,0.781595,0.012804,0.028430,0.00299793,0.577539
15,0.559596,0.819410,0.594032,0.787477,0.034436,0.031933,0.00299753,0.565989
16,0.608065,0.801941,0.544568,0.836767,-0.063498,-0.034826,0.00299711,0.623485
17,0.558485,0.811655,0.558561,0.822817,0.000076,-0.011162,0.00299664,0.608924
18,0.570342,0.814276,0.637358,0.813903,0.067016,0.000373,0.00299615,0.598180
19,0.532143,0.826691,0.519623,0.849215,-0.012520,-0.022524,0.00299562,0.645708
20,0.509017,0.839210,0.482889,0.847193,-0.026128,-0.007983,0.00299505,0.649968
21,0.485752,0.845508,0.454092,0.865198,-0.031660,-0.019691,0.00299445,0.673277
22,0.474813,0.851887,0.502785,0.830910,0.027972,0.020977,0.00299382,0.630322
23,0.462192,0.859112,0.507140,0.842452,0.044948,0.016659,0.00299315,0.653942
24,0.470794,0.853223,0.479188,0.855591,0.008394,-0.002367,0.00299245,0.664693
25,0.458666,0.860881,0.450584,0.873961,-0.008082,-0.013080,0.00299172,0.688801
26,0.454921,0.855132,0.476270,0.857875,0.021349,-0.002743,0.00299095,0.688105
27,0.443590,0.861085,0.445288,0.868915,0.001698,-0.007830,0.00299014,0.688862
28,0.435652,0.870124,0.423522,0.882224,-0.012130,-0.012100,0.00298931,0.714299
29,0.438719,0.867225,0.457272,0.863701,0.018553,0.003524,0.00298843,0.671507
30,0.440796,0.864390,0.446887,0.859510,0.006091,0.004880,0.00298753,0.663846
31,0.424499,0.871242,0.457864,0.872311,0.033365,-0.001070,0.00298659,0.694345
32,0.405625,0.881576,0.477561,0.877740,0.071936,0.003836,0.00298562,0.709516
33,0.395528,0.881741,0.555464,0.851358,0.159936,0.030383,0.00298461,0.658147
34,0.418782,0.871349,0.441364,0.872236,0.022583,-0.000887,0.00298357,0.699665
35,0.399031,0.880898,0.417119,0.888708,0.018088,-0.007810,0.00298250,0.722217
36,0.393095,0.885543,0.455931,0.881307,0.062836,0.004236,0.00298139,0.709105
37,0.440363,0.863759,0.442529,0.887846,0.002166,-0.024087,0.00298024,0.730836
38,0.399189,0.875098,0.408280,0.884386,0.009091,-0.009287,0.00297907,0.715538
39,0.376152,0.889958,0.430317,0.882789,0.054165,0.007169,0.00297786,0.721053
40,0.383667,0.886157,0.383483,0.896466,-0.000184,-0.010309,0.00297662,0.741483
41,0.363396,0.891849,0.448379,0.870821,0.084983,0.021028,0.00297534,0.705658
42,0.350023,0.898941,0.407730,0.889273,0.057707,0.009668,0.00297403,0.732205
43,0.356484,0.895149,0.406435,0.884677,0.049951,0.010472,0.00297268,0.716925
44,0.418363,0.881517,0.431896,0.882393,0.013533,-0.000876,0.00297131,0.705854
45,0.373678,0.891113,0.424249,0.888513,0.050571,0.002599,0.00296990,0.721353
46,0.354595,0.897464,0.399363,0.888853,0.044767,0.008611,0.00296845,0.726380
47,0.341394,0.902027,0.438149,0.887064,0.096754,0.014963,0.00296697,0.718309
48,0.342142,0.900848,0.445227,0.899583,0.103084,0.001265,0.00296546,0.753354
49,0.335249,0.905582,0.421554,0.888668,0.086305,0.016914,0.00296392,0.723666
50,0.328155,0.907152,0.396488,0.901391,0.068333,0.005761,0.00296234,0.757291
51,0.345831,0.901769,0.417299,0.894019,0.071468,0.007750,0.00296073,0.725610
52,0.326907,0.905857,0.432087,0.900084,0.105180,0.005773,0.00295908,0.738705
53,0.332467,0.905577,0.447927,0.899325,0.115460,0.006252,0.00295741,0.746220
54,0.329009,0.907116,0.435182,0.893635,0.106173,0.013481,0.00295570,0.735368
55,0.338019,0.904757,0.433141,0.894580,0.095122,0.010177,0.00295395,0.736295
56,0.300630,0.918595,0.390311,0.904708,0.089681,0.013887,0.00295218,0.763115
57,0.333203,0.904287,0.427426,0.894179,0.094222,0.010108,0.00295037,0.739936
58,0.317345,0.910945,0.414484,0.906594,0.097139,0.004351,0.00294852,0.766453
59,0.346892,0.904941,0.426957,0.894507,0.080065,0.010434,0.00294665,0.738011
60,0.342649,0.897406,0.416140,0.897966,0.073490,-0.000560,0.00294474,0.742393
61,0.317702,0.911036,0.420437,0.900527,0.102736,0.010509,0.00294280,0.743698
62,0.310992,0.912388,0.430242,0.890620,0.119250,0.021768,0.00294083,0.731787
63,0.304641,0.913747,0.399851,0.903781,0.095210,0.009967,0.00293882,0.758406
64,0.297923,0.917386,0.404845,0.905515,0.106922,0.011871,0.00293678,0.758460
65,0.282214,0.923565,0.401757,0.905883,0.119543,0.017683,0.00293471,0.765884
66,0.281295,0.923205,0.400037,0.910350,0.118741,0.012855,0.00293261,0.769659
67,0.283463,0.924328,0.427490,0.905010,0.144027,0.019318,0.00293047,0.762783
68,0.301432,0.917829,0.414402,0.900307,0.112970,0.017522,0.00292830,0.742051
69,0.288175,0.920036,0.421268,0.913620,0.133093,0.006416,0.00292610,0.787778
70,0.293951,0.919252,0.411866,0.900976,0.117915,0.018275,0.00292387,0.758205
71,0.319891,0.911461,0.447661,0.898039,0.127770,0.013422,0.00292160,0.743277
72,0.327719,0.909345,0.404461,0.904075,0.076743,0.005270,0.00291931,0.756183
73,0.293095,0.919079,0.415528,0.895391,0.122433,0.023688,0.00291698,0.729361
74,0.285962,0.921321,0.389075,0.903875,0.103113,0.017446,0.00291461,0.760543
75,0.282292,0.923845,0.389912,0.908935,0.107620,0.014910,0.00291222,0.769115
