epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.836850,0.491918,1.421754,0.568576,-0.415096,-0.076657,0.00100000
2,1.518579,0.593460,1.295424,0.592744,-0.223155,0.000716,0.00100000
3,1.431865,0.597950,1.206197,0.584125,-0.225668,0.013825,0.00100000
4,1.345054,0.607340,1.212506,0.593738,-0.132547,0.013601,0.00100000
5,1.296969,0.623550,1.242703,0.578912,-0.054266,0.044638,0.00100000
6,1.287385,0.607895,1.149023,0.614163,-0.138362,-0.006268,0.00100000
7,1.216038,0.629245,1.190388,0.641647,-0.025650,-0.012402,0.00100000
8,1.250217,0.627455,1.101781,0.653476,-0.148435,-0.026021,0.00100000
9,1.191765,0.646067,1.320421,0.620974,0.128656,0.025093,0.00100000
10,1.171849,0.648969,1.089956,0.658180,-0.081892,-0.009211,0.00100000
11,1.135262,0.663796,1.005476,0.708015,-0.129787,-0.044219,0.00100000
12,1.140276,0.653872,1.058855,0.671218,-0.081421,-0.017346,0.00100000
13,1.136871,0.677900,1.022695,0.674261,-0.114177,0.003640,0.00100000
14,1.145421,0.681595,1.056200,0.673105,-0.089221,0.008490,0.00100000
15,1.106762,0.686938,0.972900,0.695086,-0.133862,-0.008149,0.00100000
16,1.028141,0.702794,1.006506,0.685148,-0.021635,0.017646,0.00100000
17,1.121709,0.683419,1.007396,0.732297,-0.114313,-0.048878,0.00100000
18,1.057315,0.700420,0.970123,0.715983,-0.087193,-0.015563,0.00100000
19,1.026879,0.704746,1.079875,0.677013,0.052995,0.027733,0.00100000
20,1.052302,0.705259,1.142963,0.668541,0.090661,0.036717,0.00100000
21,1.011836,0.708384,1.003359,0.705300,-0.008477,0.003084,0.00100000
22,0.967760,0.724370,0.915217,0.727168,-0.052543,-0.002798,0.00100000
23,0.964064,0.720650,1.084949,0.649379,0.120885,0.071271,0.00100000
24,0.955427,0.725313,1.081766,0.691703,0.126339,0.033609,0.00100000
25,1.038900,0.716776,1.017556,0.690980,-0.021344,0.025796,0.00100000
